district_id;district_name;year;month;week;cases;population;area_km2;density;cases_per_100k
Q4;Quận 4;2022;2;7;12;175329.0;4.18;41.945;6.844
Q5;Quận 5;2022;2;7;24;159073.0;4.27;37.254;15.087
Q6;Quận 6;2022;2;7;25;233561.0;7.19;32.712;10.704
Q7;Quận 7;2022;2;7;40;360155.0;35.69;10.091;11.106
Q8;Quận 8;2022;2;7;61;424667.0;19.18;22.222;14.364
TB;Tân Bình;2022;2;7;52;474792.0;22.43;21.168;10.952
TP;Tân Phú;2022;2;7;47;485348.0;15.97;30.391;9.684
TD;Thủ Đức;2022;2;7;155;1169967.0;211.56;5.53;13.248
BC;Bình Chánh;2022;2;8;118;705508.0;252.69;2.793;16.726
BT;Bình Tân;2022;2;8;127;784173.0;52.02;15.074;16.195
BTH;Bình Thạnh;2022;2;8;70;499164.0;20.76;24.021;14.023
CG;Cần Giờ;2022;2;8;7;71526.0;704.45;102.0;9.787
CC;Củ Chi;2022;2;8;74;462047.0;434.77;1.063;16.016
GV;Gò Vấp;2022;2;8;92;676899.0;19.73;34.308;13.591
HM;Hóc Môn;2022;2;8;75;542243.0;109.17;4.967;13.831
NB;Nhà Bè;2022;2;8;37;206837.0;100.43;2.06;17.888
PN;Phú Nhuận;2022;2;8;12;163961.0;4.86;33.599;7.319
Q1;Quận 1;2022;2;8;16;142625.0;7.73;18.451;11.218
Q10;Quận 10;2022;2;8;25;234819.0;5.72;41.052;10.646
Q11;Quận 11;2022;2;8;26;209867.0;5.14;40.83;12.389
Q12;Quận 12;2022;2;8;68;620146.0;52.74;11.921;10.965
Q3;Quận 3;2022;2;8;13;190375.0;4.92;38.694;6.829
Q4;Quận 4;2022;2;8;18;175329.0;4.18;41.945;10.266
Q5;Quận 5;2022;2;8;15;159073.0;4.27;37.254;9.43
Q6;Quận 6;2022;2;8;35;233561.0;7.19;32.712;14.985
Q7;Quận 7;2022;2;8;38;360155.0;35.69;10.091;10.551
Q8;Quận 8;2022;2;8;63;424667.0;19.18;22.222;14.835
TB;Tân Bình;2022;2;8;63;474792.0;22.43;21.168;13.269
TP;Tân Phú;2022;2;8;54;485348.0;15.97;30.391;11.126
TD;Thủ Đức;2022;2;8;184;1169967.0;211.56;5.53;15.727
BC;Bình Chánh;2022;2;9;152;705508.0;252.69;2.793;21.545
BT;Bình Tân;2022;2;9;98;784173.0;52.02;15.074;12.497
BTH;Bình Thạnh;2022;2;9;46;499164.0;20.76;24.021;9.215
CG;Cần Giờ;2022;2;9;11;71526.0;704.45;102.0;15.379
CC;Củ Chi;2022;2;9;67;462047.0;434.77;1.063;14.501
GV;Gò Vấp;2022;2;9;75;676899.0;19.73;34.308;11.08
HM;Hóc Môn;2022;2;9;85;542243.0;109.17;4.967;15.676
NB;Nhà Bè;2022;2;9;23;206837.0;100.43;2.06;11.12
PN;Phú Nhuận;2022;2;9;7;163961.0;4.86;33.599;4.269
Q1;Quận 1;2022;2;9;20;142625.0;7.73;18.451;14.023
Q10;Quận 10;2022;2;9;18;234819.0;5.72;41.052;7.665
Q11;Quận 11;2022;2;9;20;209867.0;5.14;40.83;9.53
Q12;Quận 12;2022;2;9;89;620146.0;52.74;11.921;14.351
Q3;Quận 3;2022;2;9;12;190375.0;4.92;38.694;6.303
Q4;Quận 4;2022;2;9;14;175329.0;4.18;41.945;7.985
Q5;Quận 5;2022;2;9;8;159073.0;4.27;37.254;5.029
Q6;Quận 6;2022;2;9;19;233561.0;7.19;32.712;8.135
Q7;Quận 7;2022;2;9;46;360155.0;35.69;10.091;12.772
Q8;Quận 8;2022;2;9;66;424667.0;19.18;22.222;15.542
TB;Tân Bình;2022;2;9;56;474792.0;22.43;21.168;11.795
TP;Tân Phú;2022;2;9;45;485348.0;15.97;30.391;9.272
TD;Thủ Đức;2022;2;9;183;1169967.0;211.56;5.53;15.641
BC;Bình Chánh;2022;3;10;141;705508.0;252.69;2.793;19.986
BT;Bình Tân;2022;3;10;119;784173.0;52.02;15.074;15.175
BTH;Bình Thạnh;2022;3;10;44;499164.0;20.76;24.021;8.815
CG;Cần Giờ;2022;3;10;11;71526.0;704.45;102.0;15.379
CC;Củ Chi;2022;3;10;66;462047.0;434.77;1.063;14.284
GV;Gò Vấp;2022;3;10;86;676899.0;19.73;34.308;12.705
HM;Hóc Môn;2022;3;10;84;542243.0;109.17;4.967;15.491
NB;Nhà Bè;2022;3;10;36;206837.0;100.43;2.06;17.405
PN;Phú Nhuận;2022;3;10;11;163961.0;4.86;33.599;6.709
Q1;Quận 1;2022;3;10;20;142625.0;7.73;18.451;14.023
Q10;Quận 10;2022;3;10;29;234819.0;5.72;41.052;12.35
Q11;Quận 11;2022;3;10;24;209867.0;5.14;40.83;11.436
Q12;Quận 12;2022;3;10;99;620146.0;52.74;11.921;15.964
Q3;Quận 3;2022;3;10;5;190375.0;4.92;38.694;2.626
Q4;Quận 4;2022;3;10;19;175329.0;4.18;41.945;10.837
Q5;Quận 5;2022;3;10;18;159073.0;4.27;37.254;11.316
Q6;Quận 6;2022;3;10;33;233561.0;7.19;32.712;14.129
Q7;Quận 7;2022;3;10;40;360155.0;35.69;10.091;11.106
Q8;Quận 8;2022;3;10;56;424667.0;19.18;22.222;13.187
TB;Tân Bình;2022;3;10;60;474792.0;22.43;21.168;12.637
TP;Tân Phú;2022;3;10;78;485348.0;15.97;30.391;16.071
TD;Thủ Đức;2022;3;10;168;1169967.0;211.56;5.53;14.359
BC;Bình Chánh;2022;3;11;148;705508.0;252.69;2.793;20.978
BT;Bình Tân;2022;3;11;102;784173.0;52.02;15.074;13.007
BTH;Bình Thạnh;2022;3;11;64;499164.0;20.76;24.021;12.821
CG;Cần Giờ;2022;3;11;12;71526.0;704.45;102.0;16.777
CC;Củ Chi;2022;3;11;74;462047.0;434.77;1.063;16.016
GV;Gò Vấp;2022;3;11;100;676899.0;19.73;34.308;14.773
HM;Hóc Môn;2022;3;11;71;542243.0;109.17;4.967;13.094
NB;Nhà Bè;2022;3;11;38;206837.0;100.43;2.06;18.372
PN;Phú Nhuận;2022;3;11;16;163961.0;4.86;33.599;9.758
Q1;Quận 1;2022;3;11;13;142625.0;7.73;18.451;9.115
Q10;Quận 10;2022;3;11;18;234819.0;5.72;41.052;7.665
Q11;Quận 11;2022;3;11;21;209867.0;5.14;40.83;10.006
Q12;Quận 12;2022;3;11;97;620146.0;52.74;11.921;15.641
Q3;Quận 3;2022;3;11;14;190375.0;4.92;38.694;7.354
Q4;Quận 4;2022;3;11;20;175329.0;4.18;41.945;11.407
Q5;Quận 5;2022;3;11;12;159073.0;4.27;37.254;7.544
Q6;Quận 6;2022;3;11;27;233561.0;7.19;32.712;11.56
Q7;Quận 7;2022;3;11;42;360155.0;35.69;10.091;11.662
